target,tissue,cell_type,cells,nCPM,MW_kDa,bulk_ppm,local_ppm,nM_concentration
EGFR,Breast,Breast lactating cells,420,32.4,134.277,0.09,0.07,0.11760000000000001
EGFR,Breast,Breast hormone-responsive cells,4827,10.6,134.277,0.09,0.022,0.03696
EGFR,Breast,Vascular endothelial cells,3614,16.7,134.277,0.09,0.036,0.06047999999999999
EGFR,Breast,Lymphatic endothelial cells,183,1.7,134.277,0.09,0.004,0.00672
EGFR,Breast,Pericytes,268,49.5,134.277,0.09,0.109,0.18312
EGFR,Breast,Vascular smooth muscle cells,708,61.7,134.277,0.09,0.143,0.24023999999999998
EGFR,Breast,Fibroblasts,4842,214.3,134.277,0.09,0.559,0.9391200000000001
EGFR,Breast,Monocytes,174,0.0,134.277,0.09,0.0,0.0
EGFR,Breast,Macrophages,421,0.0,134.277,0.09,0.0,0.0
EGFR,Breast,T-cells,9456,0.3,134.277,0.09,0.001,0.00168
EGFR,Breast,Innate lymphoid cells,24,0.0,134.277,0.09,0.0,0.0
EGFR,Breast,B-cells,101,3.2,134.277,0.09,0.007,0.01176
EGFR,Breast,Plasma cells,76,0.0,134.277,0.09,0.0,0.0
EGFR,Breast,CDC,173,0.0,134.277,0.09,0.0,0.0
EGFR,Breast,PDCs,31,0.0,134.277,0.09,0.0,0.0
EGFR,Heart,Epicardial cells,347,477.6,134.277,1.05,2.772,6.98544
EGFR,Heart,Cardiomyocytes,33023,13.7,134.277,1.05,0.083,0.20916
EGFR,Heart,Vascular endothelial cells,1053,62.2,134.277,1.05,0.375,0.9450000000000001
EGFR,Heart,Pericytes,567,159.7,134.277,1.05,0.942,2.37384
EGFR,Heart,Vascular smooth muscle cells,217,85.1,134.277,1.05,0.508,1.28016
EGFR,Heart,Adipocytes,151,193.3,134.277,1.05,1.161,2.92572
EGFR,Heart,Fibroblasts,3432,392.2,134.277,1.05,2.303,5.80356
EGFR,Heart,Macrophages,1379,16.9,134.277,1.05,0.1,0.252
EGFR,Skin,Suprabasal keratinocytes,578,891.2,134.277,39.2,198.826,835.0692
EGFR,Skin,Melanocytes,115,20.3,134.277,39.2,3.835,16.107
EGFR,Skin,Basal keratinocytes,999,679.3,134.277,39.2,147.63,620.046
EGFR,Skin,Smooth muscle cells,45,62.4,134.277,39.2,12.325,51.765
EGFR,Skin,Vascular endothelial cells,1607,28.0,134.277,39.2,5.374,22.5708
EGFR,Skin,Lymphatic endothelial cells,327,13.7,134.277,39.2,2.621,11.0082
EGFR,Skin,Pericytes,503,67.6,134.277,39.2,12.882,54.1044
EGFR,Skin,Vascular smooth muscle cells,898,59.9,134.277,39.2,11.704,49.156800000000004
EGFR,Skin,Fibroblasts,6531,271.4,134.277,39.2,54.673,229.62660000000002
EGFR,Skin,Macrophages,133,0.0,134.277,39.2,0.0,0.0
EGFR,Skin,T-cells,1688,4.9,134.277,39.2,0.92,3.8640000000000003
EGFR,Skin,CDC,2081,6.0,134.277,39.2,1.133,4.7586
EGFR,Blood,Neutrophil progenitors,1497,0.0,134.277,,0.0,0.0
EGFR,Blood,Neutrophils,20149,0.0,134.277,,0.0,0.0
EGFR,Blood,Monocytes,11488,0.0,134.277,,0.0,0.0
EGFR,Blood,T-cells,1582,0.3,134.277,,0.0,0.0
EGFR,Blood,B-cells,1024,0.1,134.277,,0.0,0.0
EGFR,Blood,Plasma cells,24,0.0,134.277,,0.0,0.0
EGFR,Blood,PDCs,14,0.0,134.277,,0.0,0.0
EGFR,Blood,NK-cells,1392,0.1,134.277,,0.0,0.0
EGFR,Blood,Platelets,183,0.0,134.277,,0.0,0.0
EGFR,Blood,Erythrocytes,1760,0.0,134.277,,0.0,0.0
